Código;VR respuesta rápida – Solucionada (?5 min);VR respuesta rápida – Revisión profunda / OT CAPITALBUS;Observación estándar – Reporte CAPITALBUS
NVD-011;"[VR-OK] NVD-011 – Batería RTC agotada
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-011 – Batería RTC agotada
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Batería interna agotada.
Evidencia mínima a adjuntar: Captura hora antes/después.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-011. Novedad: Batería RTC agotada. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Hora se resetea. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-012;"[VR-OK] NVD-012 – Ventilador NVR no opera
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-012 – Ventilador NVR no opera
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Ventilador dañado, polvo.
Evidencia mínima a adjuntar: Foto/vid.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-012. Novedad: Ventilador NVR no opera. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Temperatura alta; ruido. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-013;"[VR-OK] NVD-013 – Filtro/ventilación obstruida
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-013 – Filtro/ventilación obstruida
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Mantenimiento deficiente.
Evidencia mínima a adjuntar: Foto.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-013. Novedad: Filtro/ventilación obstruida. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Calor; polvo acumulado. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-014;"[VR-OK] NVD-014 – Conector energía invertido
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-014 – Conector energía invertido
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Instalación incorrecta.
Evidencia mínima a adjuntar: Medición + foto.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-014. Novedad: Conector energía invertido. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: No enciende; posible daño. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-015;"[VR-OK] NVD-015 – Cable energía pellizcado
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-015 – Cable energía pellizcado
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Ruta de cable mal.
Evidencia mínima a adjuntar: Foto daño.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-015. Novedad: Cable energía pellizcado. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Se apaga en baches. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-016;"[VR-OK] NVD-016 – Fusible abierto
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-016 – Fusible abierto
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Sobrecarga, corto.
Evidencia mínima a adjuntar: Foto fusible + valor.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-016. Novedad: Fusible abierto. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Equipo muerto. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-017;"[VR-OK] NVD-017 – Caída de tensión por accesorios
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-017 – Caída de tensión por accesorios
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Compartición de línea sin dimensionar.
Evidencia mínima a adjuntar: Mediciones.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-017. Novedad: Caída de tensión por accesorios. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Falla cuando prende aire/luces. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-018;"[VR-OK] NVD-018 – Gabinete sin puesta a tierra
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-018 – Gabinete sin puesta a tierra
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Masa deficiente.
Evidencia mínima a adjuntar: Foto punto masa + medición.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-018. Novedad: Gabinete sin puesta a tierra. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Ruido, fallas intermitentes. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-019;"[VR-OK] NVD-019 – Interferencia eléctrica (EMI)
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-019 – Interferencia eléctrica (EMI)
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Cableado sin apantallar.
Evidencia mínima a adjuntar: Registro correlación.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-019. Novedad: Interferencia eléctrica (EMI). Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Pixelación/caídas coinciden con motor. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-100;"[VR-OK] NVD-100 – No graba ningún canal
Se valida grabación y reproducción reciente OK; sin huecos en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-100 – No graba ningún canal
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Grabación deshabilitada, storage no montado.
Evidencia mínima a adjuntar: Captura config + estado grabación.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-100. Novedad: No graba ningún canal. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Live ok pero playback vacío. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-101;"[VR-OK] NVD-101 – Graba pero con huecos
Se valida grabación y reproducción reciente OK; sin huecos en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-101 – Graba pero con huecos
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Reinicios, disco lento, bitrate alto.
Evidencia mínima a adjuntar: Listado huecos + log.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-101. Novedad: Graba pero con huecos. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Faltan minutos/horas. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-102;"[VR-OK] NVD-102 – Disco no detectado
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-102 – Disco no detectado
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): SATA suelto, energía, HDD dañado.
Evidencia mínima a adjuntar: Captura estado + foto conexiones.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-102. Novedad: Disco no detectado. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: HDD missing. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-103;"[VR-OK] NVD-103 – Disco con sectores dañados
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-103 – Disco con sectores dañados
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): HDD deteriorado por vibración.
Evidencia mínima a adjuntar: SMART/log + captura.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-103. Novedad: Disco con sectores dañados. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Errores lectura; congelamientos. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-104;"[VR-OK] NVD-104 – Almacenamiento lleno
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-104 – Almacenamiento lleno
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Retención mal; bitrate alto.
Evidencia mínima a adjuntar: Captura uso + config.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-104. Novedad: Almacenamiento lleno. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: 100% uso; no graba. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-105;"[VR-OK] NVD-105 – Retención menor a la esperada
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-105 – Retención menor a la esperada
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): FPS/bitrate altos, más canales.
Evidencia mínima a adjuntar: Reporte retención + config.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-105. Novedad: Retención menor a la esperada. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Solo 1-2 días. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-106;"[VR-OK] NVD-106 – Overwrite deshabilitado
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-106 – Overwrite deshabilitado
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Configuración.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-106. Novedad: Overwrite deshabilitado. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Se detiene al llenar. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-107;"[VR-OK] NVD-107 – Grabación en baja calidad
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-107 – Grabación en baja calidad
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Substream grabando, bitrate bajo.
Evidencia mínima a adjuntar: Captura parámetros.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-107. Novedad: Grabación en baja calidad. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Playback pixelado. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
