Código_RVR;Resultado;Categoría;Motivo;Observación estándar;Acción sugerida;Estado siguiente sugerido
RVR-DSC-01;Descartada;Cámaras (Video/Audio);No reproducible;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: en vivo y reproducción se observa video normal; no se reproduce la falla en la ventana de consulta.";"Cerrar OT como Descartada. Mantener monitoreo 48h; reabrir si reincide.";Cerrar OT
RVR-DSC-02;Descartada;Comunicaciones / Reporte;Recuperación espontánea;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: conectividad recuperada; bus reporta en CMS y responde a telemetría. Evento corresponde a pérdida temporal de cobertura.";"Cerrar OT como Descartada. Monitorear estabilidad; si reincide, escalar a comunicaciones.";Cerrar OT
RVR-DSC-03;Descartada;Grabación / Almacenamiento;Grabación OK;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: grabación presente y accesible en el rango consultado; sin alertas rápidas de disco.";Cerrar OT como Descartada. Monitorear retención y alertas de disco.;Cerrar OT
RVR-DSC-04;Descartada;Software / Configuración;Config OK;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: configuración verificada correcta; perfiles y canales activos; prueba de stream/grabación OK.";Cerrar OT como Descartada. Documentar captura/validación.;Cerrar OT
RVR-DSC-05;Descartada;Centro de Gestión (CMS);Mantenimiento CMS;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: la falla corresponde a mantenimiento/ventana CMS confirmada; servicio restablecido y bus en línea.";Cerrar OT como Descartada. Referenciar incidente/ventana CMS.;Cerrar OT
RVR-DSC-06;Descartada;Energía / Encendido;Energía estable;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: NVR estable sin reinicios en logs recientes; operación normal.";Cerrar OT como Descartada. Monitorear alarmas de energía.;Cerrar OT
RVR-DSC-07;Descartada;Cámaras (Video/Audio);Ajuste remoto;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: el evento era por parámetro (IR/exposición/perfil). Se ajusta configuración y queda operativo.;Registrar corrección remota y cerrar OT como Descartada (corregida remotamente).;Ajuste remoto / Cerrar OT
RVR-DSC-08;Descartada;Físico / Seguridad;Error de canal;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: canal/equipo reportado no corresponde; canal correcto verificado OK.";Cerrar OT como Descartada. Actualizar inventario/canalización si aplica.;Cerrar OT
RVR-DSC-09;Descartada;Cableado / Red interna;Prueba OK;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: no hay pérdida de enlace ni errores en puertos; cámaras estables en prueba rápida.";Cerrar OT como Descartada. Monitorear 48h.;Cerrar OT
RVR-DSC-10;Descartada;Periféricos / Sensores;Sin eventos;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se descarta: no se registran eventos del periférico en logs; pruebas remotas OK.";Cerrar OT como Descartada. Reentrenar a operación sobre activación/uso si aplica.;Cerrar OT
RVR-REV-01;Requiere revisión adicional;Comunicaciones / Reporte;Intermitencia;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: bus intermitente (entra/sale de línea) en CMS. Requiere diagnóstico de router/SIM/antenas.;"Escalar a comunicaciones. Solicitar logs de router y ventana de observación 24h; programar visita si continúa.";Pendiente diagnóstico
RVR-REV-02;Requiere revisión adicional;Cámaras (Video/Audio);Intermitencia video;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: video intermitente; se pierde señal por periodos. No es concluyente si es cámara, cableado o PoE.";Programar correctivo nocturno con kit de pruebas (cámara test, latiguillos, switch). Registrar frecuencia de caída.;Pendiente programación
RVR-REV-03;Requiere revisión adicional;Grabación / Almacenamiento;Huecos de grabación;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: grabación con huecos; algunos canales faltantes. Requiere revisión de HDD/SD y parámetros de grabación.";"Programar correctivo nocturno. Extraer SMART/estado disco; validar bitrate/carga; corregir perfiles.";Pendiente diagnóstico
RVR-REV-04;Requiere revisión adicional;Energía / Encendido;Eventos aislados;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: eventos aislados de reinicio sin patrón; se requiere medición en sitio y revisión DC-DC/masa.";Solicitar bus intervención nocturna. Medición VDC (reposo/arranque/ruta) y revisión de fusibles/borneras.;Pendiente programación
RVR-REV-05;Requiere revisión adicional;Cableado / Red interna;Pérdida paquetes;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: pérdida de paquetes en algunos canales, pero enlaces activos. Posible falsocontacto/interferencia.;"Programar correctivo nocturno. Revisar conectores, crimpado, ruta y fijación; reemplazar segmentos críticos.";Pendiente programación
RVR-REV-06;Requiere revisión adicional;Software / Configuración;Falla esporádica;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: configuración correcta, pero falla esporádica. Requiere revisión de firmware/recursos y logs extendidos.;"Escalar a ingeniería. Solicitar versión firmware, logs y carga CPU/RAM; definir plan de actualización/rollback.";Pendiente análisis ingeniería
RVR-REV-07;Requiere revisión adicional;Centro de Gestión (CMS);Mapeo CMS;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: bus en línea, pero sin video en CMS. Requiere revisar permisos/licencias/mapeo de streams.;"Escalar a soporte CMS. Validar credenciales, licencias y mapeo; no enviar técnico a bus hasta descartar CMS.";Pendiente soporte CMS
RVR-REV-08;Requiere revisión adicional;Periféricos / Sensores;Prueba en sitio;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: alarma de periférico sin evidencia suficiente. Requiere prueba controlada en sitio.;Programar prueba nocturna con operación. Registrar activación y revisar cableado IO.;Pendiente programación
RVR-REV-09;Requiere revisión adicional;Físico / Seguridad;Sin evidencia;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: reporte de daño físico sin foto/verificación. Requiere inspección en patio y registro fotográfico.;Solicitar bus en patio. Levantar evidencia (fotos) y definir repuestos.;Pendiente evidencia
RVR-REV-10;Requiere revisión adicional;Centro de Gestión (CMS);Config bus CMS;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Hallazgo parcial: impacto localizado (solo 1 bus) pero CMS sin alarmas generales. Requiere revisar configuración de ese bus en CMS.;Soporte CMS valida configuración del bus (plantilla, grupos, credenciales). Luego decidir si se programa visita.;Pendiente soporte CMS
